date,open,high,low,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
2017-11-30,99.775,99.775,99.775,99.775,48000,48000,99.775,0,"Nov 30, 17",0
2017-12-01,99.775,99.775,99.775,99.775,124,124,0,0,"Dec 1, 17",0
2017-12-12,99.775,99.775,99.775,99.775,300,300,0,0,"Dec 12, 17",0
2017-12-13,99.775,99.775,99.775,99.775,1125,1125,0,0,"Dec 13, 17",0
2018-01-08,,,,99.775,8,8,0.000015,0,"Jan 8, 18",0
2018-01-11,,,,99.775,27,27,0,0,"Jan 11, 18",0
2018-01-22,99.8077,99.8077,99.8077,99.8077,308,308,0.032722,0.033,"Jan 22, 18",0.0003277374091705466
2018-01-23,,,,99.8077,50,50,0,0,"Jan 23, 18",0.0003277374091705466
2018-01-29,,,,99.8077,76,76,0,0,"Jan 29, 18",0.0003277374091705466
2018-01-31,99.8077,99.8077,99.8077,99.8077,218,218,0,0,"Jan 31, 18",0.0003277374091705466
2018-02-06,,,,99.8077,25,25,0.000017,0,"Feb 6, 18",0.0003277374091705466
2018-02-07,,,,99.8077,9,9,0,0,"Feb 7, 18",0.0003277374091705466
2018-02-09,,,,99.8077,3,3,0,0,"Feb 9, 18",0.0003277374091705466
2018-02-12,,,,99.8077,2,2,0,0,"Feb 12, 18",0.0003277374091705466
2018-03-01,,,,99.8078,46,46,0.000005,0,"Mar 1, 18",0.0003287396642444962
2018-03-07,99.8724,99.8724,99.8724,99.8724,506,506,0.064686,0.065,"Mar 7, 18",0.00097619644199442
2018-03-28,,,,99.8724,81,81,0,0,"Mar 28, 18",0.00097619644199442
2018-03-29,,,,99.8724,52,52,0,0,"Mar 29, 18",0.00097619644199442
2018-04-03,,,,99.8725,18,18,0.000016,0,"Apr 3, 18",0.0009771986970683697
2018-04-04,,,,99.8725,35,35,0,0,"Apr 4, 18",0.0009771986970683697
2018-04-06,,,,99.8725,11,11,0,0,"Apr 6, 18",0.0009771986970683697
2018-04-20,,,,99.8725,22,22,0,0,"Apr 20, 18",0.0009771986970683697
2018-04-23,,,,99.8725,2,2,0,0,"Apr 23, 18",0.0009771986970683697
2018-05-07,,,,99.8725,12,12,0.000006,0,"May 7, 18",0.0009771986970683697
2018-06-07,,,,99.9085,12,12,0.036067,0.036,"Jun 7, 18",0.0013380105236782554
2018-06-19,,,,99.9085,3,3,0,0,"Jun 19, 18",0.0013380105236782554
2018-07-03,,,,99.9085,10,10,-0.000007,0,Jul 3,0.0013380105236782554
2018-07-09,,,,99.9085,12,12,0,0,Jul 9,0.0013380105236782554
2018-07-31,,,,99.9085,50,50,0,0,Jul 31,0.0013380105236782554